Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","70,733,253.48","0.17","70,733,253.48","222,968.00","317.24","United States","NASDAQ","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","70,296,312.40","0.17","70,296,312.40","170,374.00","412.60","United States","NASDAQ","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","70,234,684.54","0.17","70,234,684.54","1,452,931.00","48.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","69,696,912.80","0.17","69,696,912.80","256,720.00","271.49","United States","NASDAQ","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","68,910,748.90","0.16","68,910,748.90","333,466.00","206.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","68,607,169.26","0.16","68,607,169.26","554,267.00","123.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","68,254,821.76","0.16","68,254,821.76","91,712.00","744.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","68,051,116.95","0.16","68,051,116.95","158,705.00","428.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","67,500,072.96","0.16","67,500,072.96","194,592.00","346.88","United States","NASDAQ","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","67,135,498.85","0.16","67,135,498.85","483,163.00","138.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","65,835,057.20","0.16","65,835,057.20","149,252.00","441.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","63,683,558.22","0.15","63,683,558.22","256,406.00","248.37","United States","NASDAQ","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","63,643,199.14","0.15","63,643,199.14","896,762.00","70.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","63,324,134.00","0.15","63,324,134.00","823,675.00","76.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","62,528,975.44","0.15","62,528,975.44","606,724.00","103.06","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"SHW","SHERWIN WILLIAMS","Materials","Equity","61,359,318.17","0.15","61,359,318.17","166,769.00","367.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","60,722,888.46","0.14","60,722,888.46","89,706.00","676.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","60,421,667.11","0.14","60,421,667.11","264,439.00","228.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSTR","STRATEGY INC CLASS A","Information Technology","Equity","59,848,540.83","0.14","59,848,540.83","177,819.00","336.57","United States","NASDAQ","USD","1.00","USD","-"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumer Discretionary","Equity","59,534,395.83","0.14","59,534,395.83","180,369.00","330.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","59,201,428.52","0.14","59,201,428.52","383,578.00","154.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","57,792,884.50","0.14","57,792,884.50","922,325.00","62.66","United States","NASDAQ","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","57,551,652.89","0.14","57,551,652.89","190,499.00","302.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","57,169,999.60","0.14","57,169,999.60","180,689.00","316.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","56,660,992.00","0.13","56,660,992.00","110,666.00","512.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Equity","56,638,740.00","0.13","56,638,740.00","526,872.00","107.50","United States","NASDAQ","USD","1.00","USD","-"
