Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","40,363,703.04","0.10","40,363,703.04","230,808.00","174.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","40,322,868.60","0.10","40,322,868.60","203,620.00","198.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXON","AXON ENTERPRISE INC","Industrials","Equity","40,271,265.32","0.10","40,271,265.32","53,108.00","758.29","United States","NASDAQ","USD","1.00","USD","-"
"DLR","DIGITAL REALTY TRUST REIT INC","Real Estate","Equity","39,996,455.26","0.09","39,996,455.26","240,118.00","166.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","39,805,145.04","0.09","39,805,145.04","104,952.00","379.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALL","ALLSTATE CORP","Financials","Equity","39,719,533.62","0.09","39,719,533.62","188,799.00","210.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","39,471,682.77","0.09","39,471,682.77","98,137.00","402.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","39,252,544.02","0.09","39,252,544.02","687,917.00","57.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COR","CENCORA INC","Health Care","Equity","38,418,100.89","0.09","38,418,100.89","130,359.00","294.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SRE","SEMPRA","Utilities","Equity","38,409,108.00","0.09","38,409,108.00","464,720.00","82.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CARR","CARRIER GLOBAL CORP","Industrials","Equity","38,403,652.80","0.09","38,403,652.80","573,360.00","66.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABNB","AIRBNB INC CLASS A","Consumer Discretionary","Equity","38,145,492.00","0.09","38,145,492.00","302,742.00","126.00","United States","NASDAQ","USD","1.00","USD","-"
"O","REALTY INCOME REIT CORP","Real Estate","Equity","37,519,679.19","0.09","37,519,679.19","635,819.00","59.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"D","DOMINION ENERGY INC","Utilities","Equity","37,243,182.80","0.09","37,243,182.80","607,556.00","61.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AFL","AFLAC INC","Financials","Equity","37,068,276.21","0.09","37,068,276.21","346,789.00","106.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","36,575,169.24","0.09","36,575,169.24","57,444.00","636.71","United States","NASDAQ","USD","1.00","USD","-"
"PCAR","PACCAR INC","Industrials","Equity","36,569,353.34","0.09","36,569,353.34","367,679.00","99.46","United States","NASDAQ","USD","1.00","USD","-"
"KMI","KINDER MORGAN INC","Energy","Equity","36,532,689.60","0.09","36,532,689.60","1,383,814.00","26.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","36,469,018.04","0.09","36,469,018.04","221,858.00","164.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FLUT","FLUTTER ENTERTAINMENT PLC","Consumer Discretionary","Equity","36,263,877.96","0.09","36,263,877.96","124,721.00","290.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","36,196,517.49","0.09","36,196,517.49","132,963.00","272.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LNG","CHENIERE ENERGY INC","Energy","Equity","36,182,476.80","0.09","36,182,476.80","157,042.00","230.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","36,133,051.83","0.09","36,133,051.83","154,991.00","233.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","35,861,635.44","0.08","35,861,635.44","555,822.00","64.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","35,628,857.68","0.08","35,628,857.68","1,068,652.00","33.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSX","PHILLIPS","Energy","Equity","35,453,000.98","0.08","35,453,000.98","290,194.00","122.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","35,399,914.98","0.08","35,399,914.98","453,322.00","78.09","United States","NASDAQ","USD","1.00","USD","-"
"CTVA","CORTEVA INC","Materials","Equity","35,258,800.00","0.08","35,258,800.00","487,000.00","72.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WDAY","WORKDAY INC CLASS A","Information Technology","Equity","35,195,555.56","0.08","35,195,555.56","153,164.00","229.79","United States","NASDAQ","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","34,949,450.05","0.08","34,949,450.05","270,821.00","129.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","34,553,763.78","0.08","34,553,763.78","68,253.00","506.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","34,090,176.24","0.08","34,090,176.24","323,559.00","105.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","33,918,348.32","0.08","33,918,348.32","229,364.00","147.88","United States","NASDAQ","USD","1.00","USD","-"
"CBRE","CBRE GROUP INC CLASS A","Real Estate","Equity","33,863,766.50","0.08","33,863,766.50","211,675.00","159.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RSG","REPUBLIC SERVICES INC","Industrials","Equity","33,860,508.00","0.08","33,860,508.00","144,210.00","234.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","33,772,987.27","0.08","33,772,987.27","415,463.00","81.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHI","D R HORTON INC","Consumer Discretionary","Equity","32,837,262.52","0.08","32,837,262.52","195,332.00","168.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OKE","ONEOK INC","Energy","Equity","32,783,719.50","0.08","32,783,719.50","446,037.00","73.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EBAY","EBAY INC","Consumer Discretionary","Equity","32,754,330.56","0.08","32,754,330.56","327,904.00","99.89","United States","NASDAQ","USD","1.00","USD","-"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","32,458,193.95","0.08","32,458,193.95","112,957.00","287.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","32,449,499.16","0.08","32,449,499.16","2,802,202.00","11.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KDP","KEURIG DR PEPPER INC","Consumer Staples","Equity","32,433,778.84","0.08","32,433,778.84","921,938.00","35.18","United States","NASDAQ","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","32,341,488.57","0.08","32,341,488.57","409,749.00","78.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXC","EXELON CORP","Utilities","Equity","32,219,108.34","0.08","32,219,108.34","720,141.00","44.74","United States","NASDAQ","USD","1.00","USD","-"
"FERG","FERGUSON ENTERPRISES INC","Industrials","Equity","32,043,110.58","0.08","32,043,110.58","137,891.00","232.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PAYX","PAYCHEX INC","Industrials","Equity","31,903,907.08","0.08","31,903,907.08","229,508.00","139.01","United States","NASDAQ","USD","1.00","USD","-"
"MNST","MONSTER BEVERAGE CORP","Consumer Staples","Equity","31,776,730.11","0.08","31,776,730.11","496,589.00","63.99","United States","NASDAQ","USD","1.00","USD","-"
"EA","ELECTRONIC ARTS INC","Communication","Equity","31,692,886.48","0.08","31,692,886.48","185,686.00","170.68","United States","NASDAQ","USD","1.00","USD","-"
"CCI","CROWN CASTLE INC","Real Estate","Equity","31,636,206.54","0.07","31,636,206.54","308,887.00","102.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MET","METLIFE INC","Financials","Equity","31,526,887.68","0.07","31,526,887.68","400,494.00","78.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KMB","KIMBERLY CLARK CORP","Consumer Staples","Equity","31,475,912.50","0.07","31,475,912.50","236,750.00","132.95","United States","NASDAQ","USD","1.00","USD","-"
"CVNA","CARVANA CLASS A","Consumer Discretionary","Equity","31,469,732.32","0.07","31,469,732.32","91,418.00","344.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GWW","WW GRAINGER INC","Industrials","Equity","31,390,934.40","0.07","31,390,934.40","31,536.00","995.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","30,652,321.83","0.07","30,652,321.83","222,231.00","137.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","30,604,277.60","0.07","30,604,277.60","226,363.00","135.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KR","KROGER","Consumer Staples","Equity","30,528,904.64","0.07","30,528,904.64","431,687.00","70.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","30,527,109.43","0.07","30,527,109.43","30,527,109.00","100.00","United States","-","USD","1.00","USD","-"
"MSCI","MSCI INC","Financials","Equity","30,423,831.68","0.07","30,423,831.68","53,548.00","568.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AME","AMETEK INC","Industrials","Equity","30,374,466.80","0.07","30,374,466.80","164,009.00","185.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","30,322,485.25","0.07","30,322,485.25","705,995.00","42.95","United States","NASDAQ","USD","1.00","USD","-"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","30,195,923.12","0.07","30,195,923.12","356,968.00","84.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"YUM","YUM BRANDS INC","Consumer Discretionary","Equity","30,160,760.13","0.07","30,160,760.13","198,413.00","152.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XEL","XCEL ENERGY INC","Utilities","Equity","30,125,490.36","0.07","30,125,490.36","411,438.00","73.22","United States","NASDAQ","USD","1.00","USD","-"
"CPRT","COPART INC","Industrials","Equity","30,120,969.34","0.07","30,120,969.34","630,014.00","47.81","United States","NASDAQ","USD","1.00","USD","-"
"VEEV","VEEVA SYSTEMS INC CLASS A","Health Care","Equity","29,961,106.45","0.07","29,961,106.45","105,367.00","284.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RMD","RESMED INC","Health Care","Equity","29,872,873.44","0.07","29,872,873.44","104,436.00","286.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NU","NU HOLDINGS LTD CLASS A","Financials","Equity","29,821,353.28","0.07","29,821,353.28","2,272,969.00","13.12","Brazil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Communication","Equity","29,200,621.56","0.07","29,200,621.56","127,871.00","228.36","United States","NASDAQ","USD","1.00","USD","-"
"KVUE","KENVUE INC","Consumer Staples","Equity","29,071,027.30","0.07","29,071,027.30","1,352,770.00","21.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XYZ","BLOCK INC CLASS A","Financials","Equity","29,050,408.40","0.07","29,050,408.40","390,988.00","74.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","28,350,325.13","0.07","28,350,325.13","219,787.00","128.99","United States","NASDAQ","USD","1.00","USD","-"
"DAL","DELTA AIR LINES INC","Industrials","Equity","28,243,699.00","0.07","28,243,699.00","466,838.00","60.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","27,825,177.60","0.07","27,825,177.60","32,937.00","844.80","United States","NASDAQ","USD","1.00","USD","-"
"ROK","ROCKWELL AUTOMATION INC","Industrials","Equity","27,740,150.05","0.07","27,740,150.05","80,755.00","343.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VMC","VULCAN MATERIALS","Materials","Equity","27,657,273.80","0.07","27,657,273.80","94,445.00","292.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NDAQ","NASDAQ INC","Financials","Equity","27,597,373.43","0.07","27,597,373.43","294,121.00","93.83","United States","NASDAQ","USD","1.00","USD","-"
"SYY","SYSCO CORP","Consumer Staples","Equity","27,455,130.59","0.07","27,455,130.59","345,391.00","79.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETR","ENTERGY CORP","Utilities","Equity","27,297,973.75","0.06","27,297,973.75","307,375.00","88.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRSK","VERISK ANALYTICS INC","Industrials","Equity","27,206,151.88","0.06","27,206,151.88","100,388.00","271.01","United States","NASDAQ","USD","1.00","USD","-"
"GRMN","GARMIN LTD","Consumer Discretionary","Equity","27,088,137.30","0.06","27,088,137.30","116,034.00","233.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","26,824,087.50","0.06","26,824,087.50","252,462.00","106.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HIG","HARTFORD INSURANCE GROUP INC","Financials","Equity","26,633,660.41","0.06","26,633,660.41","202,061.00","131.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSGP","COSTAR GROUP INC","Real Estate","Equity","26,489,665.80","0.06","26,489,665.80","297,804.00","88.95","United States","NASDAQ","USD","1.00","USD","-"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Financials","Equity","26,228,232.30","0.06","26,228,232.30","378,310.00","69.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ED","CONSOLIDATED EDISON INC","Utilities","Equity","25,941,451.20","0.06","25,941,451.20","256,592.00","101.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MLM","MARTIN MARIETTA MATERIALS INC","Materials","Equity","25,939,196.80","0.06","25,939,196.80","42,680.00","607.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAH","CARDINAL HEALTH INC","Health Care","Equity","25,618,624.28","0.06","25,618,624.28","171,914.00","149.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CPNG","COUPANG INC CLASS A","Consumer Discretionary","Equity","25,499,303.30","0.06","25,499,303.30","883,858.00","28.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OTIS","OTIS WORLDWIDE CORP","Industrials","Equity","24,922,493.16","0.06","24,922,493.16","281,324.00","88.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","24,905,872.80","0.06","24,905,872.80","351,480.00","70.86","United States","NASDAQ","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","24,784,311.50","0.06","24,784,311.50","85,982.00","288.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","24,767,502.72","0.06","24,767,502.72","228,314.00","108.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRGP","TARGA RESOURCES CORP","Energy","Equity","24,576,588.36","0.06","24,576,588.36","152,868.00","160.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","24,493,640.94","0.06","24,493,640.94","378,514.00","64.71","United States","NASDAQ","USD","1.00","USD","-"
"XYL","XYLEM INC","Industrials","Equity","24,483,545.58","0.06","24,483,545.58","172,626.00","141.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VICI","VICI PPTYS INC","Real Estate","Equity","24,381,755.47","0.06","24,381,755.47","750,901.00","32.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","24,366,235.26","0.06","24,366,235.26","202,866.00","120.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCG","PG&E CORP","Utilities","Equity","24,331,990.80","0.06","24,331,990.80","1,559,743.00","15.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARES","ARES MANAGEMENT CORP CLASS A","Financials","Equity","24,208,811.86","0.06","24,208,811.86","134,054.00","180.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GEHC","GE HEALTHCARE TECHNOLOGIES INC","Health Care","Equity","24,075,311.78","0.06","24,075,311.78","325,474.00","73.97","United States","NASDAQ","USD","1.00","USD","-"
"UAL","UNITED AIRLINES HOLDINGS INC","Industrials","Equity","24,034,577.05","0.06","24,034,577.05","235,195.00","102.19","United States","NASDAQ","USD","1.00","USD","-"
"IQV","IQVIA HOLDINGS INC","Health Care","Equity","23,989,122.60","0.06","23,989,122.60","124,716.00","192.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACGL","ARCH CAPITAL GROUP LTD","Financials","Equity","23,873,165.12","0.06","23,873,165.12","259,943.00","91.84","United States","NASDAQ","USD","1.00","USD","-"
"NUE","NUCOR CORP","Materials","Equity","23,857,890.01","0.06","23,857,890.01","163,511.00","145.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WTW","WILLIS TOWERS WATSON PLC","Financials","Equity","23,674,117.90","0.06","23,674,117.90","70,570.00","335.47","United States","NASDAQ","USD","1.00","USD","-"
"TSCO","TRACTOR SUPPLY","Consumer Discretionary","Equity","23,647,965.12","0.06","23,647,965.12","379,704.00","62.28","United States","NASDAQ","USD","1.00","USD","-"
"FICO","FAIR ISAAC CORP","Information Technology","Equity","23,469,023.78","0.06","23,469,023.78","16,946.00","1,384.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Industrials","Equity","23,259,751.56","0.06","23,259,751.56","120,717.00","192.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IR","INGERSOLL RAND INC","Industrials","Equity","23,001,025.76","0.05","23,001,025.76","288,089.00","79.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STT","STATE STREET CORP","Financials","Equity","22,791,085.20","0.05","22,791,085.20","205,048.00","111.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCL","CARNIVAL CORP","Consumer Discretionary","Equity","22,752,606.93","0.05","22,752,606.93","769,449.00","29.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DXCM","DEXCOM INC","Health Care","Equity","22,589,383.40","0.05","22,589,383.40","279,226.00","80.90","United States","NASDAQ","USD","1.00","USD","-"
"LEN","LENNAR A CORP CLASS A","Consumer Discretionary","Equity","22,054,321.50","0.05","22,054,321.50","164,278.00","134.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTB","M&T BANK CORP","Financials","Equity","22,032,837.48","0.05","22,032,837.48","115,743.00","190.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DD","DUPONT DE NEMOURS INC","Materials","Equity","22,019,567.22","0.05","22,019,567.22","298,449.00","73.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EFX","EQUIFAX INC","Industrials","Equity","21,918,856.37","0.05","21,918,856.37","87,707.00","249.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Industrials","Equity","21,898,343.88","0.05","21,898,343.88","83,289.00","262.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQT","EQT CORP","Energy","Equity","21,500,928.96","0.05","21,500,928.96","425,424.00","50.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RJF","RAYMOND JAMES INC","Financials","Equity","21,369,504.62","0.05","21,369,504.62","130,159.00","164.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VTR","VENTAS REIT INC","Real Estate","Equity","21,108,308.04","0.05","21,108,308.04","310,599.00","67.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","21,077,061.60","0.05","21,077,061.60","479,460.00","43.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NRG","NRG ENERGY INC","Utilities","Equity","20,931,818.22","0.05","20,931,818.22","141,069.00","148.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXR","EXTRA SPACE STORAGE REIT INC","Real Estate","Equity","20,875,767.40","0.05","20,875,767.40","149,690.00","139.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DTE","DTE ENERGY","Utilities","Equity","20,696,388.41","0.05","20,696,388.41","148,117.00","139.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrials","Equity","20,537,470.80","0.05","20,537,470.80","132,671.00","154.80","United States","NASDAQ","USD","1.00","USD","-"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","20,492,589.16","0.05","20,492,589.16","341,771.00","59.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FITB","FIFTH THIRD BANCORP","Financials","Equity","20,289,211.60","0.05","20,289,211.60","474,047.00","42.80","United States","NASDAQ","USD","1.00","USD","-"
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","20,185,292.60","0.05","20,185,292.60","945,890.00","21.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AWK","AMERICAN WATER WORKS INC","Utilities","Equity","20,157,761.78","0.05","20,157,761.78","138,818.00","145.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LPLA","LPL FINANCIAL HOLDINGS INC","Financials","Equity","20,075,300.72","0.05","20,075,300.72","57,149.00","351.28","United States","NASDAQ","USD","1.00","USD","-"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Information Technology","Equity","20,024,174.76","0.05","20,024,174.76","122,487.00","163.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTD","METTLER TOLEDO INC","Health Care","Equity","19,667,938.47","0.05","19,667,938.47","14,871.00","1,322.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEE","AMEREN CORP","Utilities","Equity","19,583,196.16","0.05","19,583,196.16","192,256.00","101.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GIS","GENERAL MILLS INC","Consumer Staples","Equity","19,419,182.44","0.05","19,419,182.44","389,084.00","49.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYF","SYNCHRONY FINANCIAL","Financials","Equity","19,386,929.95","0.05","19,386,929.95","270,805.00","71.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVB","AVALONBAY COMMUNITIES REIT INC","Real Estate","Equity","19,381,440.75","0.05","19,381,440.75","101,235.00","191.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PPL","PPL CORP","Utilities","Equity","19,366,186.34","0.05","19,366,186.34","527,258.00","36.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TEAM","ATLASSIAN CORP CLASS A","Information Technology","Equity","19,205,897.92","0.05","19,205,897.92","115,552.00","166.21","United States","NASDAQ","USD","1.00","USD","-"
"EME","EMCOR GROUP INC","Industrials","Equity","19,118,186.10","0.05","19,118,186.10","31,491.00","607.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZS","ZSCALER INC","Information Technology","Equity","19,107,764.76","0.05","19,107,764.76","69,503.00","274.92","United States","NASDAQ","USD","1.00","USD","-"
"IRM","IRON MOUNTAIN INC","Real Estate","Equity","19,086,780.72","0.05","19,086,780.72","208,462.00","91.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRO","BROWN & BROWN INC","Financials","Equity","19,049,417.52","0.05","19,049,417.52","196,629.00","96.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RDDT","REDDIT INC CLASS A","Communication","Equity","18,932,550.96","0.04","18,932,550.96","82,972.00","228.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HSY","HERSHEY FOODS","Consumer Staples","Equity","18,796,103.06","0.04","18,796,103.06","103,978.00","180.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FANG","DIAMONDBACK ENERGY INC","Energy","Equity","18,784,195.92","0.04","18,784,195.92","135,177.00","138.96","United States","NASDAQ","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","18,759,646.98","0.04","18,759,646.98","247,293.00","75.86","United States","NASDAQ","USD","1.00","USD","-"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Financials","Equity","18,753,768.13","0.04","18,753,768.13","300,493.00","62.41","United States","NASDAQ","USD","1.00","USD","-"
"AU","ANGLOGOLD ASHANTI PLC","Materials","Equity","18,699,686.25","0.04","18,699,686.25","358,575.00","52.15","South Africa","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATO","ATMOS ENERGY CORP","Utilities","Equity","18,693,751.02","0.04","18,693,751.02","112,742.00","165.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PHM","PULTEGROUP INC","Consumer Discretionary","Equity","18,536,658.45","0.04","18,536,658.45","142,185.00","130.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LYV","LIVE NATION ENTERTAINMENT INC","Communication","Equity","18,482,796.90","0.04","18,482,796.90","113,461.00","162.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Communication","Equity","18,356,678.88","0.04","18,356,678.88","1,587,948.00","11.56","United States","NASDAQ","USD","1.00","USD","-"
"SOFI","SOFI TECHNOLOGIES INC","Financials","Equity","18,353,972.00","0.04","18,353,972.00","806,768.00","22.75","United States","NASDAQ","USD","1.00","USD","-"
"VLTO","VERALTO CORP","Industrials","Equity","18,345,651.00","0.04","18,345,651.00","169,710.00","108.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBOE","CBOE GLOBAL MARKETS INC","Financials","Equity","18,340,376.95","0.04","18,340,376.95","74,515.00","246.13","United States","Cboe BZX","USD","1.00","USD","-"
"PPG","PPG INDUSTRIES INC","Materials","Equity","18,261,086.58","0.04","18,261,086.58","161,803.00","112.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXPE","EXPEDIA GROUP INC","Consumer Discretionary","Equity","18,125,693.04","0.04","18,125,693.04","87,126.00","208.04","United States","NASDAQ","USD","1.00","USD","-"
"HPQ","HP INC","Information Technology","Equity","18,078,984.00","0.04","18,078,984.00","669,592.00","27.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TDY","TELEDYNE TECHNOLOGIES INC","Information Technology","Equity","17,959,797.90","0.04","17,959,797.90","33,066.00","543.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PTC","PTC INC","Information Technology","Equity","17,749,965.12","0.04","17,749,965.12","84,576.00","209.87","United States","NASDAQ","USD","1.00","USD","-"
